season,season_end,player,player_clean,dpoy_finish,tie,first_place_votes,total_vote_points,maximum_possible_vote_points,vote_share,vote_share_method,source,source_url,dataset_version
1982-83,1983,Sidney Moncrief,Sidney Moncrief,1,False,14.0,14.0,75.0,0.187,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1983.html,basketball-reference.com cache (seasons 1980-2026)
1982-83,1983,Tree Rollins,Tree Rollins,2,False,10.0,10.0,75.0,0.133,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1983.html,basketball-reference.com cache (seasons 1980-2026)
1982-83,1983,Larry Bird,Larry Bird,3,True,6.0,6.0,75.0,0.08,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1983.html,basketball-reference.com cache (seasons 1980-2026)
1982-83,1983,Maurice Cheeks,Maurice Cheeks,3,True,6.0,6.0,75.0,0.08,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1983.html,basketball-reference.com cache (seasons 1980-2026)
1982-83,1983,Michael Cooper,Michael Cooper,3,True,6.0,6.0,75.0,0.08,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1983.html,basketball-reference.com cache (seasons 1980-2026)
1982-83,1983,Bobby Jones,Bobby Jones,3,True,6.0,6.0,75.0,0.08,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1983.html,basketball-reference.com cache (seasons 1980-2026)
1983-84,1984,Sidney Moncrief,Sidney Moncrief,1,False,19.0,19.0,76.0,0.25,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1984.html,basketball-reference.com cache (seasons 1980-2026)
1983-84,1984,Mark Eaton,Mark Eaton,2,False,14.0,14.0,76.0,0.184,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1984.html,basketball-reference.com cache (seasons 1980-2026)
1983-84,1984,Dennis Johnson,Dennis Johnson,3,False,7.0,7.0,76.0,0.092,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1984.html,basketball-reference.com cache (seasons 1980-2026)
1983-84,1984,Maurice Cheeks,Maurice Cheeks,4,True,5.0,5.0,76.0,0.066,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1984.html,basketball-reference.com cache (seasons 1980-2026)
1983-84,1984,Michael Cooper,Michael Cooper,4,True,5.0,5.0,76.0,0.066,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1984.html,basketball-reference.com cache (seasons 1980-2026)
1983-84,1984,Bobby Jones,Bobby Jones,4,True,5.0,5.0,76.0,0.066,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1984.html,basketball-reference.com cache (seasons 1980-2026)
1983-84,1984,T.R. Dunn,T.R. Dunn,7,False,4.0,4.0,76.0,0.053,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1984.html,basketball-reference.com cache (seasons 1980-2026)
