player,exception_score,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,best_legacy_window,included
Maurice Cheeks,86.57,multi DPOY top-5; 4x All-Def 1st; 4x All-Star; near-All-NBA stat peak,75.8,75.0,78.0,True
Marcus Camby,85.21,DPOY; 2x All-Def 1st,70.4,69.7,74.0,True
Mark Eaton,84.53,DPOY; 3x All-Def 1st,60.3,57.0,61.7,True
Michael Cooper,80.78,DPOY; 5x All-Def 1st,61.3,60.1,64.9,True
Bam Adebayo,79.16,multi DPOY top-5; 6x All-Def; 3x All-Star,72.5,70.0,74.3,True
Mookie Blaylock,78.81,multi DPOY top-5; 2x All-Def 1st; near-All-NBA stat peak,78.3,74.5,79.0,True
Bobby Jones,74.37,multi DPOY top-5; 5x All-Def 1st,65.5,64.6,70.4,True
Jrue Holiday,70.15,3x All-Def 1st,65.2,62.3,66.3,True
Serge Ibaka,69.29,multi DPOY top-5; 3x All-Def 1st,63.9,62.4,67.5,True
Bruce Bowen,68.77,multi DPOY top-5; 5x All-Def 1st,48.8,45.5,49.4,True
Andrei Kirilenko,67.73,multi DPOY top-5; 3x All-Def,69.7,67.5,70.1,True
Paul Pressey,67.19,2x All-Def 1st,75.1,69.9,74.6,True
Marcus Smart,66.27,DPOY; 3x All-Def 1st,57.5,54.5,58.2,True
Jaren Jackson Jr.,66.09,DPOY; 2x All-Def 1st,60.2,55.1,58.4,True
Doug Christie,65.81,multi DPOY top-5; 4x All-Def,63.0,61.3,65.5,True
Larry Nance,64.89,3x All-Def; 3x All-Star,68.9,65.6,68.8,True
Horace Grant,64.69,4x All-Def,72.4,69.2,72.7,True
Paul Millsap,64.65,4x All-Star,71.8,66.8,70.1,True
Terry Porter,64.48,near-All-NBA stat peak,80.9,78.1,81.7,True
Tony Allen,64.37,multi DPOY top-5; 3x All-Def 1st,57.0,55.4,59.2,True
Jack Sikma,63.3,6x All-Star,74.9,69.8,73.5,True
Derek Harper,63.29,2x All-Def,71.6,68.3,71.1,True
Michael Ray Richardson,63.27,2x All-Def 1st; 4x All-Star,70.5,65.0,69.4,True
Andre Iguodala,62.9,2x All-Def,66.3,63.1,65.5,True
Hassan Whiteside,62.14,multi DPOY top-5,78.1,70.3,73.1,True
Josh Smith,62.0,elite individual peak,73.5,67.5,70.3,True
Charles Oakley,61.57,2x All-Def,66.6,61.5,65.7,True
Doc Rivers,61.45,near-All-NBA stat peak,79.0,74.9,76.9,True
Gerald Wallace,61.43,elite individual peak,66.8,61.3,63.9,True
Mike Conley,61.34,elite individual peak,75.9,68.7,71.5,True
Artis Gilmore,61.24,4x All-Star; near-All-NBA stat peak,75.4,72.6,76.1,True
Brook Lopez,60.35,2x All-Def,65.7,55.0,57.7,True
Derrick White,59.4,3x All-Def,65.6,63.8,67.3,True
Nikola Vucevic,59.2,elite individual peak,75.0,69.8,71.5,True
Sleepy Floyd,58.74,elite individual peak,78.9,69.3,71.4,True
Mark Jackson,58.59,elite individual peak,70.8,68.9,72.0,True
Rasheed Wallace,58.12,4x All-Star,63.7,63.3,65.8,True
Jeff Hornacek,58.07,elite individual peak,69.3,66.5,69.0,True
Terrell Brandon,58.01,elite individual peak,77.4,69.1,70.4,True
Shane Battier,57.98,multi DPOY top-5; 2x All-Def,56.1,54.7,56.7,True
Scottie Barnes,57.92,elite individual peak,72.4,61.1,63.2,True
Bill Laimbeer,57.79,4x All-Star,68.0,65.3,68.1,True
Dan Majerle,57.58,2x All-Def; 3x All-Star,58.4,56.4,59.9,True
Johnny Moore,57.52,elite individual peak,77.4,70.6,72.4,True
Jarrett Allen,57.28,elite individual peak,74.3,70.5,73.0,True
Nate McMillan,57.26,2x All-Def,68.5,66.7,69.6,True
Vlade Divac,56.97,elite individual peak,68.0,63.6,65.6,True
Kenny Anderson,56.93,elite individual peak,73.1,66.7,67.8,True
Tree Rollins,56.88,2x All-Def,69.6,60.9,62.9,True
Hersey Hawkins,56.68,elite individual peak,70.2,62.9,65.4,True
Jeff Teague,56.2,elite individual peak,70.7,68.3,70.6,True
Rodney McCray,56.2,2x All-Def,63.3,57.4,60.3,True
Jason Terry,56.19,elite individual peak,68.4,65.2,67.1,True
Mikal Bridges,56.09,elite individual peak,59.8,56.3,59.3,True
Lamar Odom,55.94,elite individual peak,66.4,64.0,66.5,True
Clint Capela,55.88,elite individual peak,77.1,70.8,72.8,True
Kirk Hinrich,55.85,elite individual peak,66.3,65.4,68.0,True
Kenyon Martin,55.73,elite individual peak,66.9,60.8,63.6,True
Mark Aguirre,55.48,3x All-Star,69.4,63.5,66.3,True
Brad Miller,55.39,elite individual peak,68.1,63.8,65.8,True
John Starks,55.35,elite individual peak,61.3,60.1,63.7,True
P.J. Brown,55.28,3x All-Def,61.8,59.0,61.4,True
Cedric Maxwell,55.17,elite individual peak,70.2,66.2,70.0,True
Eric Bledsoe,55.15,2x All-Def,62.5,59.8,62.4,True
Mike Bibby,54.95,elite individual peak,68.1,65.4,67.2,True
Richard Jefferson,54.93,elite individual peak,69.6,62.3,64.5,True
Theo Ratliff,54.91,multi DPOY top-5; 2x All-Def,57.4,55.0,57.7,True
Darrell Armstrong,54.82,elite individual peak,70.8,66.5,68.3,True
Gordon Hayward,54.72,elite individual peak,69.9,62.5,63.9,True
Steve Francis,54.72,3x All-Star,67.2,63.5,64.8,True
Andre Miller,54.64,elite individual peak,71.0,65.6,67.0,True
Rolando Blackman,54.56,4x All-Star,65.8,60.4,62.9,True
Isaiah Hartenstein,54.45,elite individual peak,72.2,71.9,74.2,True
Luol Deng,54.43,elite individual peak,66.6,54.8,56.6,True
Ron Harper,54.36,elite individual peak,70.1,59.9,61.2,True
Tayshaun Prince,54.27,4x All-Def,56.5,53.9,58.2,False
Jose Calderon,54.22,elite individual peak,73.9,66.4,67.7,False
Rickey Green,54.2,elite individual peak,69.1,65.8,69.0,False
Charlie Ward,54.13,elite individual peak,71.6,65.1,68.2,False
Amen Thompson,54.13,elite individual peak,64.8,61.6,63.6,False
David West,54.06,elite individual peak,62.9,59.0,61.5,False
Khris Middleton,54.03,3x All-Star,61.4,59.3,61.4,False
Micheal Williams,54.02,elite individual peak,71.3,66.6,68.4,False
Richard Hamilton,53.99,3x All-Star,61.3,59.4,62.5,False
Arvydas Sabonis,53.85,elite individual peak,73.7,70.3,71.8,False
Alperen Sengun,53.84,elite individual peak,70.8,67.7,69.1,False
Kiki Vandeweghe,53.84,elite individual peak,68.7,66.0,68.6,False
Steve Smith,53.62,elite individual peak,64.6,60.3,62.8,False
Roy Hibbert,53.61,elite individual peak,62.8,59.5,62.0,False
Robert Covington,53.55,elite individual peak,56.1,52.5,55.0,False
Rashard Lewis,53.55,elite individual peak,62.6,60.2,63.2,False
Caldwell Jones,53.44,2x All-Def 1st,55.8,54.0,58.4,False
Alex Caruso,53.41,2x All-Def,61.4,57.1,59.4,False
Bill Cartwright,53.31,elite individual peak,65.0,59.3,61.3,False
Avery Johnson,53.31,elite individual peak,67.2,63.1,65.1,False
Walter Davis,53.24,4x All-Star,65.1,57.8,60.1,False
Ivica Zubac,53.21,elite individual peak,75.5,66.6,68.4,False
Reggie Theus,53.19,elite individual peak,66.1,61.7,63.0,False
Dejounte Murray,53.19,elite individual peak,69.5,61.6,63.1,False
Calvin Natt,53.15,elite individual peak,67.6,62.7,65.7,False
Danny Manning,53.15,elite individual peak,66.8,61.4,63.9,False
Byron Scott,53.13,elite individual peak,67.2,59.4,62.2,False
Nick Van Exel,53.01,elite individual peak,65.9,63.0,65.1,False
Clifford Robinson,52.98,2x All-Def,58.9,55.1,57.4,False
Larry Hughes,52.88,elite individual peak,62.8,50.7,53.3,False
