official_rank_seed,player,player_id,career_start,career_end,all_nba_qualifier,all_nba_first_count,total_all_nba_count,candidate_type,exception_rank,exception_routes,best_preliminary_single_season,best_preliminary_three_year_window,selection_explanation
1,Nikola Jokic,nikola-jokic,2016,2026,True,6,8,mandatory_all_nba,0,,95.8,95.4,8x All-NBA (mandatory)
2,Michael Jordan,michael-jordan,1985,2003,True,10,11,mandatory_all_nba,0,,94.8,93.6,11x All-NBA (mandatory)
3,LeBron James,lebron-james,2004,2026,True,13,21,mandatory_all_nba,0,,95.0,93.1,21x All-NBA (mandatory)
4,James Harden,james-harden,2010,2026,True,6,8,mandatory_all_nba,0,,91.7,90.8,8x All-NBA (mandatory)
5,Magic Johnson,magic-johnson,1980,1991,True,9,10,mandatory_all_nba,0,,91.1,90.7,10x All-NBA (mandatory)
6,Stephen Curry,stephen-curry,2010,2026,True,4,11,mandatory_all_nba,0,,91.7,90.3,11x All-NBA (mandatory)
7,Giannis Antetokounmpo,giannis-antetokounmpo,2014,2026,True,7,9,mandatory_all_nba,0,,91.2,88.9,9x All-NBA (mandatory)
8,Shai Gilgeous-Alexander,shai-gilgeous-alexander,2019,2026,True,4,4,mandatory_all_nba,0,,89.3,88.6,4x All-NBA (mandatory)
9,Russell Westbrook,russell-westbrook,2009,2026,True,2,9,mandatory_all_nba,0,,90.8,88.4,9x All-NBA (mandatory)
10,David Robinson,david-robinson,1990,2003,True,4,10,mandatory_all_nba,0,,89.0,88.3,10x All-NBA (mandatory)
11,Shaquille O'Neal,shaquille-o-neal,1993,2010,True,8,14,mandatory_all_nba,0,,90.4,88.1,14x All-NBA (mandatory)
12,Chris Paul,chris-paul,2006,2025,True,4,11,mandatory_all_nba,0,,94.3,88.0,11x All-NBA (mandatory)
13,John Stockton,john-stockton,1985,2003,True,2,11,mandatory_all_nba,0,,90.1,87.9,11x All-NBA (mandatory)
14,Tim Duncan,tim-duncan,1998,2016,True,10,15,mandatory_all_nba,0,,89.0,87.8,15x All-NBA (mandatory)
15,Kevin Garnett,kevin-garnett,1996,2014,True,4,9,mandatory_all_nba,0,,91.3,87.7,9x All-NBA (mandatory)
16,Kevin Durant,kevin-durant,2008,2026,True,6,12,mandatory_all_nba,0,,88.9,87.4,12x All-NBA (mandatory)
17,Hakeem Olajuwon,hakeem-olajuwon,1985,2002,True,6,12,mandatory_all_nba,0,,89.9,87.1,12x All-NBA (mandatory)
18,Larry Bird,larry-bird,1980,1992,True,9,10,mandatory_all_nba,0,,87.4,86.4,10x All-NBA (mandatory)
19,Dwight Howard,dwight-howard,2005,2021,True,5,8,mandatory_all_nba,0,,86.6,86.0,8x All-NBA (mandatory)
20,Dwyane Wade,dwyane-wade,2004,2019,True,2,8,mandatory_all_nba,0,,89.4,85.9,8x All-NBA (mandatory)
21,Charles Barkley,charles-barkley,1985,1999,True,5,11,mandatory_all_nba,0,,86.9,85.1,11x All-NBA (mandatory)
22,Karl Malone,karl-malone,1986,2004,True,11,14,mandatory_all_nba,0,,87.3,84.7,14x All-NBA (mandatory)
23,Steve Nash,steve-nash,1998,2013,True,3,7,mandatory_all_nba,0,,85.7,84.2,7x All-NBA (mandatory)
24,Luka Doncic,luka-doncic,2019,2026,True,6,6,mandatory_all_nba,0,,88.8,83.8,6x All-NBA (mandatory)
25,Joel Embiid,joel-embiid,2018,2026,True,1,5,mandatory_all_nba,0,,83.2,82.4,5x All-NBA (mandatory)
26,Moses Malone,moses-malone,1980,1992,True,3,7,mandatory_all_nba,0,,84.5,82.1,7x All-NBA (mandatory)
27,Chauncey Billups,chauncey-billups,1998,2011,True,0,3,mandatory_all_nba,0,,85.4,81.8,3x All-NBA (mandatory)
28,Dirk Nowitzki,dirk-nowitzki,1999,2018,True,4,12,mandatory_all_nba,0,,84.8,81.4,12x All-NBA (mandatory)
29,Kevin Johnson,kevin-johnson,1988,1998,True,0,5,mandatory_all_nba,0,,82.5,80.9,5x All-NBA (mandatory)
30,Julius Erving,julius-erving,1980,1987,True,4,5,mandatory_all_nba,0,,81.5,80.7,5x All-NBA (mandatory)
31,Kawhi Leonard,kawhi-leonard,2012,2026,True,3,7,mandatory_all_nba,0,,84.9,80.7,7x All-NBA (mandatory)
32,Damian Lillard,damian-lillard,2013,2025,True,1,7,mandatory_all_nba,0,,81.8,80.5,7x All-NBA (mandatory)
33,Anthony Davis,anthony-davis,2013,2025,True,4,5,mandatory_all_nba,0,,83.6,80.4,5x All-NBA (mandatory)
34,Kareem Abdul-Jabbar,kareem-abdul-jabbar,1980,1989,True,4,6,mandatory_all_nba,0,,86.6,80.4,6x All-NBA (mandatory)
35,Deron Williams,deron-williams,2006,2017,True,0,2,mandatory_all_nba,0,,82.4,80.1,2x All-NBA (mandatory)
36,Isiah Thomas,isiah-thomas,1982,1994,True,3,5,mandatory_all_nba,0,,83.9,79.9,5x All-NBA (mandatory)
37,Kobe Bryant,kobe-bryant,1997,2016,True,11,15,mandatory_all_nba,0,,81.5,79.6,15x All-NBA (mandatory)
38,Gary Payton,gary-payton,1991,2007,True,2,9,mandatory_all_nba,0,,82.2,79.4,9x All-NBA (mandatory)
39,Jason Kidd,jason-kidd,1995,2013,True,5,6,mandatory_all_nba,0,,82.3,79.1,6x All-NBA (mandatory)
40,Rudy Gobert,rudy-gobert,2015,2026,True,0,4,mandatory_all_nba,0,,81.2,79.0,4x All-NBA (mandatory)
41,Patrick Ewing,patrick-ewing,1986,2001,True,1,7,mandatory_all_nba,0,,82.2,78.9,7x All-NBA (mandatory)
42,Tracy McGrady,tracy-mcgrady,1998,2012,True,2,7,mandatory_all_nba,0,,84.7,78.4,7x All-NBA (mandatory)
43,Domantas Sabonis,domantas-sabonis,2017,2025,True,0,2,mandatory_all_nba,0,,80.2,78.1,2x All-NBA (mandatory)
44,Clyde Drexler,clyde-drexler,1984,1998,True,1,5,mandatory_all_nba,0,,82.4,78.0,5x All-NBA (mandatory)
45,Scottie Pippen,scottie-pippen,1988,2003,True,3,7,mandatory_all_nba,0,,79.5,77.9,7x All-NBA (mandatory)
46,Ben Wallace,ben-wallace,1998,2012,True,0,5,mandatory_all_nba,0,,78.5,77.5,5x All-NBA (mandatory)
47,Draymond Green,draymond-green,2013,2026,True,0,2,mandatory_all_nba,0,,79.8,76.9,2x All-NBA (mandatory)
48,Tyrese Haliburton,tyrese-haliburton,2021,2025,True,0,2,mandatory_all_nba,0,,80.6,76.9,2x All-NBA (mandatory)
49,Anfernee Hardaway,anfernee-hardaway,1994,2004,True,2,3,mandatory_all_nba,0,,84.8,76.7,3x All-NBA (mandatory)
50,Grant Hill,grant-hill,1995,2012,True,1,5,mandatory_all_nba,0,,83.1,76.5,5x All-NBA (mandatory)
51,Tim Hardaway,tim-hardaway,1990,2002,True,1,5,mandatory_all_nba,0,,79.0,76.4,5x All-NBA (mandatory)
52,DeAndre Jordan,deandre-jordan,2010,2021,True,1,3,mandatory_all_nba,0,,78.0,76.0,3x All-NBA (mandatory)
53,John Wall,john-wall,2011,2021,True,0,1,mandatory_all_nba,0,,81.4,75.8,1x All-NBA (mandatory)
54,Trae Young,trae-young,2019,2025,True,0,1,mandatory_all_nba,0,,77.1,75.8,1x All-NBA (mandatory)
55,Rajon Rondo,rajon-rondo,2007,2020,True,0,1,mandatory_all_nba,0,,77.4,75.7,1x All-NBA (mandatory)
56,Shawn Kemp,shawn-kemp,1990,2003,True,0,3,mandatory_all_nba,0,,79.8,75.7,3x All-NBA (mandatory)
57,Karl-Anthony Towns,karl-anthony-towns,2016,2026,True,0,3,mandatory_all_nba,0,,81.0,75.4,3x All-NBA (mandatory)
58,Manu Ginobili,manu-ginobili,2003,2018,True,0,2,mandatory_all_nba,0,,77.5,75.1,2x All-NBA (mandatory)
59,Mark Price,mark-price,1987,1998,True,1,4,mandatory_all_nba,0,,76.4,75.1,4x All-NBA (mandatory)
60,Victor Wembanyama,victor-wembanyama,2024,2026,True,1,1,mandatory_all_nba,0,,88.5,74.9,1x All-NBA (mandatory)
61,Pau Gasol,pau-gasol,2002,2018,True,0,4,mandatory_all_nba,0,,75.4,74.7,4x All-NBA (mandatory)
62,Jayson Tatum,jayson-tatum,2018,2025,True,4,5,mandatory_all_nba,0,,76.3,74.6,5x All-NBA (mandatory)
63,Kyle Lowry,kyle-lowry,2008,2024,True,0,1,mandatory_all_nba,0,,75.9,74.5,1x All-NBA (mandatory)
64,Shawn Marion,shawn-marion,2000,2015,True,0,2,mandatory_all_nba,0,,77.9,74.4,2x All-NBA (mandatory)
65,Alonzo Mourning,alonzo-mourning,1993,2007,True,1,2,mandatory_all_nba,0,,81.5,74.3,2x All-NBA (mandatory)
