season,season_end,player,player_clean,mvp_finish,tie,first_place_votes,total_vote_points,maximum_possible_vote_points,vote_share,vote_share_method,source,source_url,dataset_version
1979-80,1980,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,1,False,147.0,147.0,221.0,0.665,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,Julius Erving,Julius Erving,2,False,31.5,31.5,221.0,0.143,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,George Gervin,George Gervin,3,False,19.0,19.0,221.0,0.086,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,Larry Bird,Larry Bird,4,False,15.0,15.0,221.0,0.068,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,Tiny Archibald,Tiny Archibald,5,True,2.0,2.0,221.0,0.009,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,Dennis Johnson,Dennis Johnson,5,True,2.0,2.0,221.0,0.009,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,Dan Roundfield,Dan Roundfield,5,True,2.0,2.0,221.0,0.009,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,Gus Williams,Gus Williams,8,False,1.5,1.5,221.0,0.007,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1979-80,1980,Moses Malone,Moses Malone,9,False,1.0,1.0,221.0,0.005,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1980.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Julius Erving,Julius Erving,1,False,28.0,454.0,690.0,0.658,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Larry Bird,Larry Bird,2,False,20.0,423.0,690.0,0.613,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,3,False,8.0,286.0,690.0,0.414,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Moses Malone,Moses Malone,4,False,8.0,180.0,690.0,0.261,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,George Gervin,George Gervin,5,False,1.0,83.0,690.0,0.12,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Marques Johnson,Marques Johnson,6,False,1.0,73.0,690.0,0.106,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Robert Parish,Robert Parish,7,False,0.0,53.0,690.0,0.077,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Dennis Johnson,Dennis Johnson,8,False,0.0,50.0,690.0,0.072,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Tiny Archibald,Tiny Archibald,9,False,0.0,32.0,690.0,0.046,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Jamaal Wilkes,Jamaal Wilkes,10,False,0.0,19.0,690.0,0.028,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Magic Johnson,Magic Johnson,11,False,0.0,18.0,690.0,0.026,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Adrian Dantley,Adrian Dantley,12,True,1.0,15.0,690.0,0.022,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Phil Ford,Phil Ford,12,True,1.0,15.0,690.0,0.022,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Bernard King,Bernard King,14,False,0.0,12.0,690.0,0.017,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Kelvin Ransey,Kelvin Ransey,15,True,1.0,11.0,690.0,0.016,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Jack Sikma,Jack Sikma,15,True,0.0,11.0,690.0,0.016,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Otis Birdsong,Otis Birdsong,17,True,0.0,7.0,690.0,0.01,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Michael Ray Richardson,Michael Ray Richardson,17,True,0.0,7.0,690.0,0.01,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Truck Robinson,Truck Robinson,19,True,0.0,6.0,690.0,0.009,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Reggie Theus,Reggie Theus,19,True,0.0,6.0,690.0,0.009,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Norm Nixon,Norm Nixon,21,False,0.0,5.0,690.0,0.007,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Artis Gilmore,Artis Gilmore,22,True,0.0,4.0,690.0,0.006,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Bob Lanier,Bob Lanier,22,True,0.0,4.0,690.0,0.006,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Michael Cooper,Michael Cooper,24,True,0.0,3.0,690.0,0.004,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Walter Davis,Walter Davis,24,True,0.0,3.0,690.0,0.004,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,George Johnson,George Johnson,24,True,0.0,3.0,690.0,0.004,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Bobby Jones,Bobby Jones,24,True,0.0,3.0,690.0,0.004,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Mike Mitchell,Mike Mitchell,24,True,0.0,3.0,690.0,0.004,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,James Silas,James Silas,24,True,0.0,3.0,690.0,0.004,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Quinn Buckner,Quinn Buckner,30,True,0.0,1.0,690.0,0.001,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1980-81,1981,Caldwell Jones,Caldwell Jones,30,True,0.0,1.0,690.0,0.001,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1981.html,basketball-reference.com cache (seasons 1980-2026)
1981-82,1982,Moses Malone,Moses Malone,1,False,40.0,507.0,690.0,0.735,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1982.html,basketball-reference.com cache (seasons 1980-2026)
1981-82,1982,Larry Bird,Larry Bird,2,False,20.0,406.0,690.0,0.588,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1982.html,basketball-reference.com cache (seasons 1980-2026)
1981-82,1982,Julius Erving,Julius Erving,3,False,1.0,203.0,690.0,0.294,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1982.html,basketball-reference.com cache (seasons 1980-2026)
1981-82,1982,Robert Parish,Robert Parish,4,False,4.0,131.0,690.0,0.19,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1982.html,basketball-reference.com cache (seasons 1980-2026)
1981-82,1982,Gus Williams,Gus Williams,5,False,2.0,115.0,690.0,0.167,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1982.html,basketball-reference.com cache (seasons 1980-2026)
1981-82,1982,George Gervin,George Gervin,6,False,1.0,110.0,690.0,0.159,award_share = points_won / points_max,Basketball Reference awards page,https://www.basketball-reference.com/awards/awards_1982.html,basketball-reference.com cache (seasons 1980-2026)
