player,season_end,pre_recognition,pre_traditional_production,pre_team_achievement,pre_prime_raw,pre_prime_score,pre_statistical_impact,pre_postseason_perf
Norm Nixon,1980,0.0,16.95176909833179,55.00000000000001,10.336149984177819,33.949608304326,17.32894736842105,-5.381345341069393
Elvin Hayes,1980,6.4,18.445491218373007,0.0,12.03170228096014,37.04755342144021,18.912499999999998,-2.5301459540199303
Bill Cartwright,1980,6.4,31.408666905631993,0.0,19.166462907325577,47.45807863415697,29.430263157894736,0.0
Kareem Abdul-Jabbar,1980,74.0,52.826383019511766,100.0,63.62569561703867,89.39449831424564,68.09276315789474,50.90255965831534
Moses Malone,1980,23.200000000000003,37.14030642949245,25.5,31.055128417234776,61.055128417234776,42.49605263157895,7.714844464162746
Jamaal Wilkes,1980,0.0,19.02682625785773,55.00000000000001,16.171890383810002,43.257835575715006,32.632894736842104,-7.7669591897202475
Michael Ray Richardson,1980,31.200000000000003,15.747345200558723,0.0,21.791708365133204,50.73963545641651,31.899342105263155,0.0
Reggie Theus,1980,0.0,26.266584241369387,0.0,15.293304119259,41.9399561788885,24.601973684210527,0.0
Wes Unseld,1980,0.0,18.014907479373093,0.0,16.393954545792838,43.590931818689256,33.04276315789474,-1.9234426426064677
Gus Williams,1980,23.200000000000003,21.628288286426727,49.6,32.62902905235372,62.62902905235372,50.392105263157895,15.964336531645397
Larry Bird,1980,38.400000000000006,26.76614528742813,49.6,33.12686435289331,63.12686435289331,48.872368421052634,0.62062187650831
Toby Knight,1980,0.0,17.2639428409562,0.0,12.789892282315089,38.184838423472634,24.023026315789473,0.0
Dan Issel,1980,0.0,32.10570965887048,0.0,24.651294266458038,54.314117833072544,45.84473684210526,0.0
Dennis Johnson,1980,43.2,13.526310148242993,49.6,20.83348766680952,49.5418595835119,27.31578947368421,-11.900119951697949
George Gervin,1980,41.2,46.24220710194262,0.0,37.293175176190914,67.70482207321479,47.16052631578947,5.427040224102883
Johnny Davis,1980,0.0,9.544635612485932,0.0,5.16965919290776,24.477708520330893,8.094736842105263,0.0
Otis Birdsong,1980,6.4,20.1750711698787,0.0,18.3353997059502,46.41924963243775,34.06184210526315,-1.0684753176924453
Tiny Archibald,1980,20.8,20.952257184796537,49.6,20.187722533470904,48.734653166838626,29.206578947368417,-3.055673981145607
Swen Nater,1980,5.6000000000000005,24.68828281126199,0.0,15.13896399353962,41.70844599030943,22.31907894736842,0.0
Calvin Natt,1980,0.0,14.418007924212004,0.0,11.644569589781113,36.348377581265375,24.348684210526315,-3.5317337461300307
Sonny Parker,1980,0.0,10.526761747953572,0.0,13.353877903578187,39.03081685536728,28.17565789473684,0.0
Ron Brewer,1980,0.0,7.096898559674651,0.0,5.102971809792751,24.35544831795338,10.853289473684208,-3.1069218630998447
Julius Erving,1980,39.6,42.799792883239604,64.0,46.95750664779619,77.95750664779618,65.77565789473682,17.812381743024698
Mike Mitchell,1980,0.0,24.783240479158206,0.0,16.951714627607352,44.42757194141103,30.579605263157898,0.0
Larry Kenon,1980,0.0,14.91004728858261,0.0,9.394589826420326,32.2234146817706,17.844736842105263,-3.117616099071207
Magic Johnson,1980,22.400000000000002,33.91663230228693,55.00000000000001,37.29301678906351,67.70464388769645,49.12828947368421,32.46664571003042
Jack Sikma,1980,6.4,13.977178903331023,49.6,15.456890594365468,42.185335891548206,32.36118421052631,-12.168846511996902
Dave Greenwood,1980,0.0,16.492145514025147,0.0,11.559175954770678,36.191822583746244,20.260526315789473,0.0
Caldwell Jones,1980,0.0,11.540127015235873,64.0,5.3781597028599855,24.859959455243306,6.8480263157894745,-6.195200099769971
John Lucas,1980,0.0,11.673990600422279,0.0,10.853549930850582,34.89817487322607,21.045394736842102,0.0
Brian Taylor,1980,0.0,9.419665403711543,0.0,9.803713068112758,32.973473958206725,19.716447368421054,0.0
Cedric Maxwell,1980,0.0,38.80723221704154,49.6,30.77709155912204,60.77709155912204,47.19868421052632,19.74043968194259
Truck Robinson,1980,0.0,19.471088583536943,25.5,9.048545481722172,31.58900004982398,13.88684210526316,-4.2054794190208975
Marques Johnson,1980,16.0,33.584131384016175,25.5,30.45003223528632,60.450032235286315,53.133552631578944,-5.998966259920268
Randy Smith,1980,0.0,12.59457443679123,0.0,8.410753488869016,30.419714729593196,15.220394736842104,0.0
Calvin Murphy,1980,0.0,18.324693600383096,25.5,13.85788494305868,39.78682741458802,25.79736842105263,-2.6827993756941364
Adrian Dantley,1980,6.4,52.20857935488694,0.0,30.660650870875465,60.660650870875465,47.26447368421053,0.0
Ricky Sobers,1980,0.0,9.446191137179081,0.0,3.9143191864266544,22.1762518417822,4.2973684210526315,0.0
Dave Robisch,1980,0.0,20.024065767339092,0.0,16.84743873177613,44.2711580976642,32.820394736842104,0.0
Terry Tyler,1980,0.0,8.676049520147915,0.0,7.329502145262808,28.43742059964848,13.188157894736841,0.0
Paul Westphal,1980,24.0,37.5598956153102,25.5,30.775368680541952,60.77536868054195,46.55723684210527,-1.3222612095600836
Eddie Jordan,1980,0.0,13.35355243383011,0.0,10.076035693644004,33.472732105014,17.998026315789474,0.0
Kermit Washington,1980,13.600000000000001,23.373577768097434,0.0,20.881349925322457,49.60168740665307,35.05921052631579,-2.2605721848866205
Mickey Johnson,1980,0.0,22.216148514087546,0.0,18.55365706097426,46.69207132621783,35.56644736842105,0.0
Brian Winters,1980,0.0,13.581530228394028,25.5,10.969812523951108,35.11132296057703,20.772368421052633,-1.527421156325687
Maurice Cheeks,1980,0.0,24.005564086368473,64.0,18.136358556897473,46.17044819612184,33.33552631578947,-5.909658181491549
Eddie Johnson,1980,13.600000000000001,19.6924429261042,25.5,21.55834073651212,50.447925920640145,36.17434210526316,2.4317192670110366
Phil Ford,1980,0.0,17.900901406409343,0.0,12.697094288446792,38.04564143267019,23.69934210526316,0.1852526071739133
Dan Roundfield,1980,43.2,25.20125083298482,25.5,29.664917292781617,59.66491729278162,39.866447368421056,0.005246113302707023
World B. Free,1980,6.4,33.75217639724374,0.0,23.640683233897377,53.050854042371725,39.03223684210526,0.0
Ray Williams,1980,0.0,29.85088368954587,0.0,22.513538749407807,51.64192343675976,42.290131578947374,0.0
Darryl Dawkins,1980,0.0,16.573016902799434,64.0,12.063633499906135,37.095450249859205,15.43157894736842,6.953782792773375
John Johnson,1980,0.0,10.51984929761681,49.6,8.913907138349549,31.34216308697417,18.02894736842105,-7.0069185618561445
Mike Newlin,1980,0.0,21.997830747593106,0.0,15.44595715540725,42.16893573311087,27.310526315789474,0.0
Don Buse,1980,12.8,6.418899324428217,25.5,9.172591635918085,31.816417999183155,15.56842105263158,-6.061002204527864
Greg Ballard,1980,0.0,15.233989802852479,0.0,14.84608569141636,41.26912853712454,31.258552631578947,-2.6739009287925697
Foots Walker,1980,0.0,14.255178003248403,0.0,13.609698491793276,39.414547737689915,27.644736842105264,0.0
Sam Lacey,1980,0.0,17.654788300674365,0.0,15.524278570155312,42.28641785523297,32.51381578947369,-2.682896763504182
Alex English,1980,0.0,17.685809095914824,0.0,12.070269910142114,37.105404865213174,21.99013157894737,0.0
Jan van Breda Kolff,1980,0.0,8.195219536400842,0.0,6.610349277247352,27.11897367495348,11.749342105263159,0.0
Jim Chones,1980,0.0,6.193416118189617,55.00000000000001,2.116048401594169,18.87942206958931,4.992105263157894,-12.452720100812694
Ron Boone,1980,0.0,8.968210151770252,0.0,0.1558241318717526,15.285677575098212,-4.546052631578948,0.0
Bob Wilkerson,1980,0.0,6.182652678686728,0.0,-1.5018572231900722,13.197771332171913,-7.932894736842104,0.0
John Long,1980,0.0,13.368638529105446,0.0,8.862227583175637,31.247417235822,14.638815789473684,0.0
Ben Poquette,1980,0.0,16.45264980469931,0.0,10.452540585970981,34.16299107428013,17.42236842105263,0.0
Scott Wedman,1980,13.600000000000001,14.661216067540089,0.0,17.217749429213395,44.82662414382009,29.779605263157894,1.132414062335813
Tom Owens,1980,0.0,21.450655287033882,0.0,15.306208648796922,41.95931297319538,28.684868421052634,-1.4741423785936658
Mike Bantom,1980,0.0,8.758159340256311,0.0,6.78174917573954,27.433206822189156,12.77171052631579,0.0
