Rank,Player,Best season,Prime raw,Prime display,SI contribution,TP contribution,Recognition contribution,Postseason contribution,Team Achievement contribution,Teammate adjustment,Data completeness status
1,Michael Jordan,1990-91,86.8651,97.53,37.6059,13.9424,19.9989,12.5652,3.0,-0.2472,complete
2,LeBron James,2008-09,81.5477,95.85,38.9271,12.6904,15.0331,13.5327,1.4268,-0.0623,complete
3,Stephen Curry,2015-16,75.6936,93.9,36.0599,15.8739,19.12,2.9582,1.968,-0.2864,complete
4,Shaquille O'Neal,1999-00,74.671,93.56,32.5798,12.065,19.4519,7.7434,3.0,-0.1691,complete
5,Nikola Jokic,2022-23,74.4495,93.48,35.9098,15.1955,9.4339,10.6448,3.0,0.2655,complete
6,Shai Gilgeous-Alexander,2024-25,72.7288,92.9,34.8583,13.3751,17.3007,4.2623,3.0,-0.0676,complete
7,Tim Duncan,2002-03,69.9761,91.84,27.8585,9.7167,17.9576,11.2252,3.0,0.2182,complete
8,Giannis Antetokounmpo,2019-20,68.5203,91.28,31.8259,12.4423,19.9482,3.6821,0.738,-0.1162,complete
9,Magic Johnson,1986-87,66.8235,90.62,29.4597,10.9092,16.9568,6.4802,3.0,0.0176,complete
10,Hakeem Olajuwon,1993-94,66.5099,90.5,24.9113,9.5625,19.815,9.131,3.0,0.0902,complete
11,Kevin Durant,2013-14,66.4146,90.47,33.9772,14.3417,14.5459,2.0872,1.4268,0.0359,complete
12,Victor Wembanyama,2025-26,65.3448,90.06,29.4398,11.4916,15.1625,7.2495,1.968,0.0333,complete
13,Larry Bird,1985-86,63.7545,89.44,28.7005,9.0892,15.7923,7.4773,3.0,-0.3047,complete
14,Kevin Garnett,2003-04,63.4503,89.33,33.3047,10.084,16.6565,2.2029,1.4268,-0.2246,complete
15,Kareem Abdul-Jabbar,1979-80,63.2862,89.26,25.8753,11.7252,13.8288,9.1625,3.0,-0.3056,complete
16,James Harden,2017-18,62.0654,88.79,31.6547,12.1895,14.3376,2.6969,1.4268,-0.2401,complete
17,Chris Paul,2007-08,60.2074,88.08,33.1679,9.5032,11.2485,5.474,0.738,0.0759,complete
18,David Robinson,1994-95,60.1975,88.08,31.5148,11.627,14.9144,0.9323,1.2703,-0.0612,complete
19,Kawhi Leonard,2016-17,59.7701,87.84,29.2099,10.5199,8.715,9.763,1.4111,0.1513,complete
20,Karl Malone,1996-97,58.536,86.98,29.641,12.7,14.319,0.2387,1.968,-0.3307,complete
21,Moses Malone,1982-83,57.6849,86.38,21.381,8.6785,19.3312,5.6575,3.0,-0.3633,complete
22,Joel Embiid,2022-23,57.407,86.18,29.0375,13.9309,14.155,-0.3775,0.738,-0.0768,complete
23,Dwight Howard,2008-09,57.3773,86.16,21.9355,9.5136,16.4834,8.2091,1.3857,-0.1499,complete
24,Russell Westbrook,2016-17,56.9116,85.84,31.2506,10.2211,13.8269,1.284,0.0,0.3291,complete
25,Dwyane Wade,2005-06,56.2085,85.35,27.0005,10.0577,6.9942,8.8552,3.0,0.301,complete
26,Tracy McGrady,2002-03,55.7499,85.02,32.3881,11.4538,9.3134,2.1344,0.0,0.4601,complete
27,Dirk Nowitzki,2005-06,55.5373,84.88,29.7513,10.4705,5.302,8.2202,1.7823,0.0111,complete
28,Anthony Davis,2019-20,55.2956,84.71,25.9713,9.1353,8.6659,9.7178,2.1922,-0.387,complete
29,Charles Barkley,1992-93,54.888,84.42,26.744,10.5357,11.7254,4.1709,1.7727,-0.0608,complete
30,Kobe Bryant,2007-08,54.4804,84.14,22.7972,9.0294,14.779,5.8596,1.968,0.0471,complete
31,Luka Doncic,2023-24,54.4072,84.09,28.5364,12.0616,8.1427,3.5022,1.968,0.1964,complete
32,Steve Nash,2005-06,48.8354,79.84,20.7903,10.376,14.6461,1.9218,1.4268,-0.3256,complete
33,Allen Iverson,2000-01,47.8066,78.81,21.935,7.113,15.0052,1.524,1.968,0.2614,complete
34,Clyde Drexler,1991-92,47.162,78.16,26.3385,8.614,6.3491,4.0213,1.968,-0.1289,complete
35,Derrick Rose,2010-11,46.8986,77.9,23.6322,7.3979,12.5654,1.9615,1.4268,-0.0854,complete
36,John Stockton,1987-88,46.2109,77.21,27.0485,10.033,4.9136,3.3076,0.738,0.1702,complete
37,Julius Erving,1980-81,46.2049,77.2,25.787,8.6236,10.4218,0.3154,1.3198,-0.2628,complete
38,Alonzo Mourning,1999-00,46.1607,77.16,22.467,10.976,10.4688,1.5085,0.5737,0.1667,complete
39,Manu Ginobili,2004-05,45.6127,76.61,23.19,9.0335,1.2961,10.2862,2.0931,-0.2864,complete
40,Jimmy Butler,2022-23,45.291,76.29,27.9812,9.3891,3.2984,2.482,1.847,0.2932,complete
41,Kevin McHale,1986-87,45.0915,76.09,22.634,11.2747,10.0797,0.1791,1.3377,-0.4137,complete
42,Chauncey Billups,2005-06,43.4018,74.4,24.733,9.3752,7.1013,0.9068,1.4268,-0.1413,complete
43,Rudy Gobert,2018-19,43.3663,74.37,23.9185,9.674,9.3371,0.3399,0.0,0.0968,complete
44,Amar'e Stoudemire,2004-05,43.2028,74.2,22.4222,11.5775,3.485,4.9583,1.0993,-0.3395,complete
45,Anfernee Hardaway,1995-96,43.1283,74.13,25.3668,9.63,4.5225,2.2498,1.4264,-0.0672,complete
46,Patrick Ewing,1989-90,42.8631,73.86,22.6375,11.3165,6.2429,1.7173,0.6125,0.3363,complete
