Rank,Player,Best window,Seasons included,Anchor season,Prime raw,Prime display,Avg SI contribution,Avg TP contribution,Avg Recognition contribution,Avg Postseason contribution,Avg Team Achievement contribution,Avg Teammate adjustment,Best season score,Weakest season score,Data completeness status
1,Michael Jordan,1990-91-1991-92,"1990-91, 1991-92",1990-91,82.4171,96.14,35.7245,13.1441,19.6463,11.2139,3.0,-0.3117,86.8651,73.5211,complete
2,LeBron James,2011-12-2012-13,"2011-12, 2012-13",2012-13,79.8563,95.29,35.3771,13.9987,18.4877,9.1695,3.0,-0.1767,81.0686,77.4318,complete
3,Nikola Jokic,2022-23-2023-24,"2022-23, 2023-24",2022-23,73.1198,93.04,36.2944,14.8944,10.3837,9.0886,2.246,0.2127,74.4495,70.4604,complete
4,Stephen Curry,2014-15-2015-16,"2014-15, 2015-16",2015-16,72.6837,92.88,34.5143,14.9266,16.8119,4.3635,2.312,-0.2446,75.6936,66.6639,complete
5,Shai Gilgeous-Alexander,2024-25-2025-26,"2024-25, 2025-26",2024-25,70.035,91.86,34.745,13.5293,15.6372,3.7016,2.4756,-0.0536,72.7288,64.6474,complete
6,Shaquille O'Neal,1999-00-2000-01,"1999-00, 2000-01",1999-00,69.7173,91.74,30.989,12.0426,16.3852,7.3803,3.0,-0.0797,74.671,59.81,complete
7,Giannis Antetokounmpo,2018-19-2019-20,"2018-19, 2019-20",2019-20,68.3025,91.19,31.9675,12.8911,18.6913,3.8677,0.9676,-0.0827,68.5203,67.8669,complete
8,Tim Duncan,2001-02-2002-03,"2001-02, 2002-03",2002-03,66.3487,90.44,28.1182,9.997,16.5207,9.3191,2.227,0.1666,69.9761,59.0938,complete
9,Kevin Durant,2012-13-2013-14,"2012-13, 2013-14",2013-14,63.8651,89.49,33.4163,14.1708,12.6678,2.5052,1.1942,-0.0893,66.4146,58.766,complete
10,Hakeem Olajuwon,1992-93-1993-94,"1992-93, 1993-94",1993-94,63.666,89.41,25.7477,9.8748,18.1025,7.5986,2.218,0.1246,66.5099,57.9783,complete
11,James Harden,2017-18-2018-19,"2017-18, 2018-19",2017-18,61.0047,88.39,31.9415,12.5798,12.7269,2.7231,1.1972,-0.1638,62.0654,58.8833,complete
12,Larry Bird,1984-85-1985-86,"1984-85, 1985-86",1985-86,60.5399,88.21,28.7803,9.3177,14.7189,5.3145,2.656,-0.2475,63.7545,54.1106,complete
13,David Robinson,1993-94-1994-95,"1993-94, 1994-95",1994-95,60.0723,88.03,33.2987,11.9061,13.3781,0.6495,0.8469,-0.0071,60.1975,59.8219,complete
14,Magic Johnson,1985-86-1986-87,"1985-86, 1986-87",1986-87,59.3794,87.57,27.4622,10.197,13.1666,6.178,2.4756,-0.1,66.8235,44.4912,complete
15,Kawhi Leonard,2015-16-2016-17,"2015-16, 2016-17",2016-17,58.7235,87.11,29.1003,10.2342,10.1864,7.9816,1.1295,0.0915,59.7701,56.6304,complete
16,Chris Paul,2007-08-2008-09,"2007-08, 2008-09",2007-08,58.6029,87.02,33.7054,10.1189,10.7635,3.3703,0.492,0.1527,60.2074,55.3938,complete
17,Kevin Garnett,2003-04-2004-05,"2003-04, 2004-05",2003-04,58.3913,86.87,32.4303,10.0619,13.52,1.4686,0.9512,-0.0407,63.4503,48.2733,complete
18,Karl Malone,1996-97-1997-98,"1996-97, 1997-98",1996-97,57.664,86.36,28.9942,12.7327,12.8338,1.3981,1.968,-0.2628,58.536,55.92,complete
19,Kareem Abdul-Jabbar,1979-80-1980-81,"1979-80, 1980-81",1979-80,56.4615,85.52,25.296,11.4655,11.7928,6.1231,2.0,-0.2159,63.2862,42.8123,complete
20,Dwight Howard,2008-09-2009-10,"2008-09, 2009-10",2008-09,55.4366,84.81,21.6286,9.6852,16.797,6.1613,1.2379,-0.0733,57.3773,51.5551,complete
21,Joel Embiid,2021-22-2022-23,"2021-22, 2022-23",2022-23,54.9642,84.47,28.9483,13.5031,12.2263,-0.4712,0.738,0.0197,57.407,50.0786,complete
22,Dirk Nowitzki,2005-06-2006-07,"2005-06, 2006-07",2005-06,54.9372,84.46,29.6314,10.5959,8.257,5.3502,1.1882,-0.0855,55.5373,53.737,complete
23,Russell Westbrook,2015-16-2016-17,"2015-16, 2016-17",2016-17,54.399,84.08,29.8341,9.6138,11.7093,2.6845,0.4756,0.0817,56.9116,49.3738,complete
24,Kobe Bryant,2007-08-2008-09,"2007-08, 2008-09",2007-08,54.3858,84.07,22.6588,8.6307,13.9935,6.8632,2.312,-0.0725,54.4804,54.1967,complete
25,Moses Malone,1981-82-1982-83,"1981-82, 1982-83",1982-83,53.3403,83.34,21.6506,8.9937,16.9072,3.9122,2.0,-0.1233,57.6849,44.6512,complete
26,Charles Barkley,1989-90-1990-91,"1989-90, 1990-91",1990-91,52.0374,82.43,29.1744,12.9073,6.6578,2.4659,0.6541,0.1779,52.7035,50.7051,complete
27,Dwyane Wade,2008-09-2009-10,"2008-09, 2009-10",2008-09,51.8672,82.31,30.4252,10.4868,8.7653,1.8201,0.0,0.3698,53.8765,47.8485,complete
28,Victor Wembanyama,2024-25-2025-26,"2024-25, 2025-26",2025-26,51.8181,82.27,25.2419,9.7797,10.535,4.833,1.312,0.1165,65.3448,24.7649,complete
29,Luka Doncic,2022-23-2023-24,"2022-23, 2023-24",2023-24,50.4425,81.31,27.7032,11.7578,7.0791,2.3348,1.312,0.2556,54.4072,42.513,complete
30,Tracy McGrady,2001-02-2002-03,"2001-02, 2002-03",2002-03,49.9668,80.97,29.2093,10.1213,8.5637,1.6869,0.0,0.3856,55.7499,38.4006,complete
31,Anthony Davis,2018-19-2019-20,"2018-19, 2019-20",2019-20,49.7062,80.71,26.4481,9.2671,6.204,6.4785,1.4615,-0.1529,55.2956,38.5276,complete
32,Steve Nash,2004-05-2005-06,"2004-05, 2005-06",2005-06,47.5616,78.56,20.2963,9.766,14.1234,2.3039,1.4268,-0.3549,48.8354,45.0141,complete
33,Julius Erving,1980-81-1981-82,"1980-81, 1981-82",1980-81,46.0754,77.08,25.8173,8.9787,8.3993,1.6474,1.4672,-0.2346,46.2049,45.8165,complete
34,John Stockton,1987-88-1988-89,"1987-88, 1988-89",1987-88,45.971,76.97,27.1805,9.8454,5.7304,2.6468,0.492,0.0758,46.2109,45.4912,complete
35,Alonzo Mourning,1998-99-1999-00,"1998-99, 1999-00",1999-00,45.1279,76.13,21.3412,10.0958,11.8739,1.3549,0.3825,0.0796,46.1607,43.0622,complete
36,Clyde Drexler,1990-91-1991-92,"1990-91, 1991-92",1991-92,44.1662,75.17,25.2758,8.1727,5.5154,3.6239,1.7513,-0.173,47.162,38.1747,complete
37,Jimmy Butler,2021-22-2022-23,"2021-22, 2022-23",2022-23,43.5916,74.59,25.8549,8.3974,2.6256,4.8019,1.6855,0.2263,45.291,40.1929,complete
38,Kevin McHale,1986-87-1987-88,"1986-87, 1987-88",1986-87,42.3251,73.33,20.9177,10.755,7.9998,1.8799,1.1954,-0.4226,45.0915,36.7924,complete
39,Allen Iverson,2000-01-2001-02,"2000-01, 2001-02",2000-01,41.5274,72.47,20.009,6.6274,12.105,1.2428,1.312,0.2312,47.8066,28.9691,complete
40,Manu Ginobili,2004-05-2005-06,"2004-05, 2005-06",2004-05,40.6673,71.5,22.7956,8.4781,0.8641,7.1628,1.6071,-0.2405,45.6127,30.7764,complete
41,Scottie Pippen,1993-94-1994-95,"1993-94, 1994-95",1993-94,40.6519,71.48,23.7211,7.129,8.226,0.8993,0.6893,-0.0127,40.994,39.9678,complete
42,Chauncey Billups,2004-05-2005-06,"2004-05, 2005-06",2005-06,40.2677,71.05,22.6762,8.9242,5.2142,2.1025,1.4863,-0.1357,43.4018,33.9995,complete
43,Rudy Gobert,2020-21-2021-22,"2020-21, 2021-22",2020-21,40.1623,70.93,21.4363,9.4182,8.2452,0.9033,0.2136,-0.0542,41.6363,37.2145,complete
44,Patrick Ewing,1988-89-1989-90,"1988-89, 1989-90",1989-90,40.1553,70.92,21.4002,10.5776,6.3472,0.9972,0.5712,0.2618,42.8631,34.7398,complete
45,Anfernee Hardaway,1994-95-1995-96,"1994-95, 1995-96",1995-96,39.9592,70.7,22.8083,9.0537,4.6836,2.027,1.5434,-0.1568,43.1283,33.6209,complete
46,Sidney Moncrief,1982-83-1983-84,"1982-83, 1983-84",1982-83,39.9152,70.65,20.9743,7.6844,10.5819,-0.3275,1.0888,-0.0867,41.9638,35.8181,complete
47,Derrick Rose,2010-11-2011-12,"2010-11, 2011-12",2010-11,39.8638,70.6,22.2676,6.6369,8.8285,1.3538,0.9512,-0.1742,46.8986,25.7943,complete
48,Damian Lillard,2019-20-2020-21,"2019-20, 2020-21",2020-21,39.7897,70.51,22.8644,10.5589,3.5182,2.6379,0.0,0.2102,40.0969,39.1753,complete
49,Bernard King,1983-84-1984-85,"1983-84, 1984-85",1983-84,39.75,70.47,19.293,9.6006,6.2918,4.0139,0.4055,0.1452,42.2422,34.7656,complete
50,Jayson Tatum,2022-23-2023-24,"2022-23, 2023-24",2022-23,38.6444,69.22,20.0018,8.7204,6.4112,1.5253,1.9512,0.0345,39.483,36.967,complete
