Rank,Player,Best window,Seasons included,Anchor season,Prime raw,Prime display,Avg SI contribution,Avg TP contribution,Avg Recognition contribution,Avg Postseason contribution,Avg Team Achievement contribution,Avg Teammate adjustment,Best season score,Weakest season score,Window variance,Data completeness status
1,Michael Jordan,1988-89-1990-91,"1988-89, 1989-90, 1990-91",1990-91,80.6069,95.54,36.9365,14.0599,15.9587,11.4015,2.2134,0.0369,86.8651,73.4735,36.3285,complete
2,LeBron James,2011-12-2013-14,"2011-12, 2012-13, 2013-14",2012-13,77.5058,94.5,34.2655,13.848,16.9066,9.7822,2.828,-0.1245,81.0686,66.9657,35.7395,complete
3,Nikola Jokic,2021-22-2023-24,"2021-22, 2022-23, 2023-24",2022-23,71.8415,92.55,36.4687,14.9071,10.7914,7.7237,1.746,0.2046,74.4495,66.7798,9.8094,complete
4,Stephen Curry,2014-15-2016-17,"2014-15, 2015-16, 2016-17",2015-16,68.6135,91.31,32.5229,14.1516,14.2364,5.5611,2.394,-0.2525,75.6936,51.2723,101.6488,complete
5,Giannis Antetokounmpo,2018-19-2020-21,"2018-19, 2019-20, 2020-21",2019-20,67.4118,90.85,31.1706,12.8142,17.5713,4.5649,1.3446,-0.0538,68.5203,63.1764,5.6649,complete
6,Shaquille O'Neal,1999-00-2001-02,"1999-00, 2000-01, 2001-02",1999-00,67.1442,90.75,30.1595,12.0292,14.6913,7.3597,3.0,-0.0955,74.671,59.232,51.0608,complete
7,Shai Gilgeous-Alexander,2023-24-2025-26,"2023-24, 2024-25, 2025-26",2024-25,66.7783,90.61,33.908,13.3038,14.0566,3.457,2.0986,-0.0457,72.7288,53.1883,64.2724,complete
8,Tim Duncan,2001-02-2003-04,"2001-02, 2002-03, 2003-04",2002-03,62.3178,88.89,28.0682,9.7465,14.8398,7.6987,1.8416,0.1231,69.9761,45.791,97.8119,complete
9,Kevin Durant,2011-12-2013-14,"2011-12, 2012-13, 2013-14",2013-14,62.0621,88.79,31.8295,13.6469,11.7908,3.6812,1.2769,-0.1632,66.4146,55.5967,20.6193,complete
10,Larry Bird,1983-84-1985-86,"1983-84, 1984-85, 1985-86",1985-86,61.431,88.55,27.6131,8.5053,15.4833,7.2382,2.828,-0.2369,63.7545,54.1106,17.0891,complete
