Player,Primary position,1-year rank,Best 1-year season,1-year raw,1-year display,2-year rank,Best 2-year window,2-year raw,2-year display,3-year rank,Best 3-year window,3-year raw,3-year display,5-year rank,Best 5-year window,5-year raw,5-year display,Average rank,Best rank,Worst rank,1-to-5-year rank change
Michael Jordan,Primary offensive engine,1,1990-91,86.8651,97.53,1.0,1990-91-1991-92,82.4171,96.14,1.0,1988-89-1990-91,80.6069,95.54,1.0,1987-88-1991-92,79.4811,95.16,1.0,1,1,0.0
LeBron James,Primary offensive engine,2,2008-09,81.5477,95.85,2.0,2011-12-2012-13,79.8563,95.29,2.0,2011-12-2013-14,77.5058,94.5,2.0,2008-09-2012-13,76.3545,94.12,2.0,2,2,0.0
Nikola Jokic,Primary playmaker,5,2022-23,74.4495,93.48,3.0,2022-23-2023-24,73.1198,93.04,3.0,2021-22-2023-24,71.8415,92.55,3.0,2020-21-2024-25,69.7553,91.75,3.5,3,5,2.0
Giannis Antetokounmpo,Primary offensive engine,8,2019-20,68.5203,91.28,7.0,2018-19-2019-20,68.3025,91.19,5.0,2018-19-2020-21,67.4118,90.85,4.0,2018-19-2022-23,63.5757,89.38,6.0,4,8,4.0
Stephen Curry,Secondary star,3,2015-16,75.6936,93.9,4.0,2014-15-2015-16,72.6837,92.88,4.0,2014-15-2016-17,68.6135,91.31,5.0,2014-15-2018-19,61.6001,88.62,4.0,3,5,-2.0
Shaquille O'Neal,Primary scorer,4,1999-00,74.671,93.56,6.0,1999-00-2000-01,69.7173,91.74,6.0,1999-00-2001-02,67.1442,90.75,6.0,1998-99-2002-03,61.4942,88.57,5.5,4,6,-2.0
Magic Johnson,Primary playmaker,9,1986-87,66.8235,90.62,14.0,1985-86-1986-87,59.3794,87.57,11.0,1986-87-1988-89,60.4273,88.16,7.0,1986-87-1990-91,58.9169,87.24,10.25,7,14,2.0
Larry Bird,Two-way engine,13,1985-86,63.7545,89.44,12.0,1984-85-1985-86,60.5399,88.21,10.0,1983-84-1985-86,61.431,88.55,8.0,1983-84-1987-88,58.7108,87.1,10.75,8,13,5.0
Tim Duncan,Two-way engine,7,2002-03,69.9761,91.84,8.0,2001-02-2002-03,66.3487,90.44,8.0,2001-02-2003-04,62.3178,88.89,9.0,2000-01-2004-05,57.5849,86.31,8.0,7,9,-2.0
Shai Gilgeous-Alexander,Primary offensive engine,6,2024-25,72.7288,92.9,5.0,2024-25-2025-26,70.035,91.86,7.0,2023-24-2025-26,66.7783,90.61,10.0,2021-22-2025-26,57.4345,86.2,7.0,5,10,-4.0
Kevin Durant,Secondary star,11,2013-14,66.4146,90.47,9.0,2012-13-2013-14,63.8651,89.49,9.0,2011-12-2013-14,62.0621,88.79,11.0,2009-10-2013-14,57.1912,86.03,10.0,9,11,0.0
James Harden,Primary offensive engine,16,2017-18,62.0654,88.79,11.0,2017-18-2018-19,61.0047,88.39,13.0,2017-18-2019-20,59.6341,87.74,12.0,2014-15-2018-19,56.1842,85.33,13.0,11,16,4.0
David Robinson,Two-way engine,18,1994-95,60.1975,88.08,13.0,1993-94-1994-95,60.0723,88.03,14.0,1993-94-1995-96,59.1057,87.37,13.0,1991-92-1995-96,55.6728,84.97,14.5,13,18,5.0
Hakeem Olajuwon,Two-way engine,10,1993-94,66.5099,90.5,10.0,1992-93-1993-94,63.666,89.41,12.0,1992-93-1994-95,59.9161,87.94,14.0,1992-93-1996-97,53.5813,83.51,11.5,10,14,-4.0
Karl Malone,Primary scorer,20,1996-97,58.536,86.98,18.0,1996-97-1997-98,57.664,86.36,16.0,1996-97-1998-99,55.7456,85.02,15.0,1995-96-1999-00,52.7967,82.96,17.25,15,20,5.0
Kevin Garnett,Two-way engine,14,2003-04,63.4503,89.33,17.0,2003-04-2004-05,58.3913,86.87,15.0,2002-03-2004-05,55.7678,85.04,16.0,2003-04-2007-08,52.2446,82.57,15.5,14,17,-2.0
Kobe Bryant,Primary offensive engine,30,2007-08,54.4804,84.14,24.0,2007-08-2008-09,54.3858,84.07,21.0,2007-08-2009-10,52.5689,82.8,17.0,2005-06-2009-10,50.9661,81.68,23.0,17,30,13.0
Charles Barkley,Secondary star,29,1992-93,54.888,84.42,26.0,1989-90-1990-91,52.0374,82.43,25.0,1990-91-1992-93,51.2056,81.84,18.0,1988-89-1992-93,50.766,81.54,24.5,18,29,11.0
Chris Paul,Primary playmaker,17,2007-08,60.2074,88.08,16.0,2007-08-2008-09,58.6029,87.02,20.0,2007-08-2009-10,53.0407,83.13,19.0,2007-08-2011-12,50.4762,81.33,18.0,16,20,-2.0
Dwight Howard,Secondary star,23,2008-09,57.3773,86.16,20.0,2008-09-2009-10,55.4366,84.81,18.0,2008-09-2010-11,54.2047,83.94,20.0,2007-08-2011-12,49.6211,80.62,20.25,18,23,3.0
Joel Embiid,Primary scorer,22,2022-23,57.407,86.18,21.0,2021-22-2022-23,54.9642,84.47,19.0,2020-21-2022-23,53.2167,83.25,21.0,2019-20-2023-24,48.707,79.71,20.75,19,22,1.0
Dirk Nowitzki,Secondary star,27,2005-06,55.5373,84.88,22.0,2005-06-2006-07,54.9372,84.46,22.0,2004-05-2006-07,52.5433,82.78,22.0,2002-03-2006-07,48.4707,79.47,23.25,22,27,5.0
Dwyane Wade,Secondary star,25,2005-06,56.2085,85.35,27.0,2008-09-2009-10,51.8672,82.31,26.0,2008-09-2010-11,50.4708,81.33,23.0,2005-06-2009-10,47.7726,78.77,25.25,23,27,2.0
Kareem Abdul-Jabbar,Secondary star,15,1979-80,63.2862,89.26,19.0,1979-80-1980-81,56.4615,85.52,24.0,1979-80-1981-82,51.4911,82.04,24.0,1979-80-1983-84,46.8255,77.83,20.5,15,24,-9.0
Kawhi Leonard,Secondary star,19,2016-17,59.7701,87.84,15.0,2015-16-2016-17,58.7235,87.11,17.0,2014-15-2016-17,54.233,83.96,25.0,2012-13-2016-17,46.5726,77.57,19.0,15,25,-6.0
Luka Doncic,Primary offensive engine,31,2023-24,54.4072,84.09,29.0,2022-23-2023-24,50.4425,81.31,29.0,2021-22-2023-24,48.9383,79.94,26.0,2019-20-2023-24,46.1589,77.16,28.75,26,31,5.0
Russell Westbrook,Secondary star,24,2016-17,56.9116,85.84,23.0,2015-16-2016-17,54.399,84.08,23.0,2014-15-2016-17,51.7328,82.21,27.0,2013-14-2017-18,45.9572,76.96,24.25,23,27,-3.0
John Stockton,Secondary star,36,1987-88,46.2109,77.21,34.0,1987-88-1988-89,45.971,76.97,34.0,1987-88-1989-90,45.2084,76.21,28.0,1987-88-1991-92,44.9894,75.99,33.0,28,36,8.0
Anthony Davis,Two-way engine,28,2019-20,55.2956,84.71,31.0,2018-19-2019-20,49.7062,80.71,28.0,2017-18-2019-20,49.801,80.8,29.0,2015-16-2019-20,44.8462,75.85,29.0,28,31,-1.0
Moses Malone,Secondary star,21,1982-83,57.6849,86.38,25.0,1981-82-1982-83,53.3403,83.34,27.0,1980-81-1982-83,49.9942,80.99,30.0,1979-80-1983-84,43.51,74.51,25.75,21,30,-9.0
Julius Erving,Two-way engine,37,1980-81,46.2049,77.2,33.0,1980-81-1981-82,46.0754,77.08,33.0,1979-80-1981-82,45.4714,76.47,31.0,1979-80-1983-84,42.5093,73.51,33.5,31,37,6.0
Steve Nash,Secondary star,32,2005-06,48.8354,79.84,32.0,2004-05-2005-06,47.5616,78.56,30.0,2004-05-2006-07,46.7856,77.79,32.0,2004-05-2008-09,42.3055,73.31,31.5,30,32,0.0
Tracy McGrady,Primary offensive engine,26,2002-03,55.7499,85.02,30.0,2001-02-2002-03,49.9668,80.97,31.0,2000-01-2002-03,46.4515,77.45,33.0,2000-01-2004-05,42.1384,73.14,30.0,26,33,-7.0
Rudy Gobert,High-impact role player,43,2018-19,43.3663,74.37,43.0,2020-21-2021-22,40.1623,70.93,38.0,2018-19-2020-21,40.8727,71.73,34.0,2016-17-2020-21,39.8219,70.55,39.5,34,43,9.0
Clyde Drexler,Two-way engine,34,1991-92,47.162,78.16,36.0,1990-91-1991-92,44.1662,75.17,36.0,1989-90-1991-92,41.978,72.98,35.0,1987-88-1991-92,39.4324,70.11,35.25,34,36,-1.0
Jimmy Butler,High-impact role player,40,2022-23,45.291,76.29,37.0,2021-22-2022-23,43.5916,74.59,35.0,2020-21-2022-23,42.1114,73.11,36.0,2019-20-2023-24,38.8778,69.49,37.0,35,40,4.0
Scottie Pippen,Two-way engine,53,1993-94,40.994,71.87,41.0,1993-94-1994-95,40.6519,71.48,40.0,1993-94-1995-96,40.6559,71.49,37.0,1993-94-1997-98,38.7824,69.38,42.75,37,53,16.0
Manu Ginobili,High-impact role player,39,2004-05,45.6127,76.61,40.0,2004-05-2005-06,40.6673,71.5,41.0,2004-05-2006-07,40.6449,71.48,38.0,2003-04-2007-08,38.5141,69.08,39.5,38,41,1.0
Damian Lillard,Secondary star,55,2020-21,40.0969,70.86,48.0,2019-20-2020-21,39.7897,70.51,43.0,2018-19-2020-21,39.2365,69.89,39.0,2016-17-2020-21,38.1681,68.69,46.25,39,55,16.0
Chauncey Billups,Secondary star,42,2005-06,43.4018,74.4,42.0,2004-05-2005-06,40.2677,71.05,42.0,2005-06-2007-08,40.2259,71.0,40.0,2003-04-2007-08,37.9882,68.49,41.5,40,42,2.0
Kevin McHale,Secondary star,41,1986-87,45.0915,76.09,38.0,1986-87-1987-88,42.3251,73.33,39.0,1985-86-1987-88,40.8296,71.68,41.0,1985-86-1989-90,37.4061,67.83,39.75,38,41,0.0
Patrick Ewing,Primary scorer,46,1989-90,42.8631,73.86,44.0,1988-89-1989-90,40.1553,70.92,45.0,1989-90-1991-92,38.5156,69.08,42.0,1989-90-1993-94,37.2182,67.62,44.25,42,46,4.0
Gary Payton,Secondary star,59,1999-00,39.3658,70.04,55.0,1995-96-1996-97,36.7853,67.13,49.0,1995-96-1997-98,36.9596,67.33,43.0,1995-96-1999-00,36.8226,67.18,51.5,43,59,16.0
Alonzo Mourning,Two-way engine,38,1999-00,46.1607,77.16,35.0,1998-99-1999-00,45.1279,76.13,37.0,1997-98-1999-00,41.418,72.35,44.0,1995-96-1999-00,36.6507,66.98,38.5,35,44,-6.0
Sidney Moncrief,Secondary star,50,1982-83,41.9638,72.96,46.0,1982-83-1983-84,39.9152,70.65,46.0,1981-82-1983-84,38.3518,68.9,45.0,1981-82-1985-86,36.3052,66.59,46.75,45,50,5.0
Jayson Tatum,Secondary star,58,2022-23,39.483,70.17,50.0,2022-23-2023-24,38.6444,69.22,47.0,2022-23-2024-25,38.1844,68.71,46.0,2020-21-2024-25,35.8994,66.14,50.25,46,58,12.0
Allen Iverson,Secondary star,33,2000-01,47.8066,78.81,39.0,2000-01-2001-02,41.5274,72.47,44.0,1998-99-2000-01,38.912,69.53,47.0,1998-99-2002-03,35.6471,65.85,40.75,33,47,-14.0
Reggie Miller,Secondary star,62,1993-94,37.9983,68.5,52.0,1993-94-1994-95,37.4017,67.83,52.0,1993-94-1995-96,36.2465,66.53,48.0,1993-94-1997-98,34.7622,64.86,53.5,48,62,14.0
Jason Kidd,Secondary star,68,2002-03,36.8919,67.25,58.0,2001-02-2002-03,36.3243,66.61,56.0,2000-01-2002-03,35.1387,65.28,49.0,1998-99-2002-03,34.1213,64.14,57.75,49,68,19.0
Grant Hill,High-impact role player,56,1996-97,39.9382,70.68,57.0,1995-96-1996-97,36.3259,66.62,54.0,1996-97-1998-99,35.377,65.55,50.0,1995-96-1999-00,34.0462,64.05,54.25,50,57,6.0
Adrian Dantley,Secondary star,49,1983-84,42.0254,73.03,53.0,1983-84-1984-85,36.9045,67.27,51.0,1983-84-1985-86,36.9202,67.29,51.0,1983-84-1987-88,33.5908,63.59,51.0,49,53,-2.0
Bernard King,Secondary star,48,1983-84,42.2422,73.24,49.0,1983-84-1984-85,39.75,70.47,50.0,1982-83-1984-85,36.9401,67.31,52.0,1980-81-1984-85,33.0174,63.02,49.75,48,52,-4.0
Ben Wallace,High-impact role player,72,2002-03,36.3324,66.62,64.0,2001-02-2002-03,35.7987,66.02,58.0,2001-02-2003-04,34.7378,64.83,53.0,2001-02-2005-06,32.5971,62.6,61.75,53,72,19.0
Kevin Johnson,Secondary star,73,1990-91,36.2154,66.49,61.0,1989-90-1990-91,35.9786,66.23,53.0,1988-89-1990-91,35.5967,65.8,54.0,1988-89-1992-93,32.5136,62.51,60.25,53,73,19.0
Amar'e Stoudemire,Secondary star,44,2004-05,43.2028,74.2,51.0,2006-07-2007-08,38.4198,68.97,55.0,2006-07-2008-09,35.1999,65.35,55.0,2006-07-2010-11,32.4737,62.47,51.25,44,55,-11.0
Ray Allen,Secondary star,52,2000-01,41.1204,72.01,54.0,2000-01-2001-02,36.8369,67.19,64.0,1999-00-2001-02,34.2446,64.28,56.0,2000-01-2004-05,32.2352,62.24,56.5,52,64,-4.0
Pau Gasol,Secondary star,77,2008-09,35.6546,65.86,66.0,2008-09-2009-10,35.3862,65.56,59.0,2008-09-2010-11,34.6926,64.78,57.0,2006-07-2010-11,32.0527,62.05,64.75,57,77,20.0
Karl-Anthony Towns,Secondary star,64,2025-26,37.7653,68.24,67.0,2024-25-2025-26,35.3084,65.47,67.0,2016-17-2018-19,33.7679,63.77,58.0,2017-18-2021-22,32.0197,62.02,64.0,58,67,6.0
Domantas Sabonis,High-impact role player,75,2023-24,35.8637,66.1,68.0,2022-23-2023-24,35.3022,65.46,60.0,2022-23-2024-25,34.5549,64.62,59.0,2020-21-2024-25,31.8701,61.87,65.5,59,75,16.0
Paul Pierce,Secondary star,78,2001-02,35.4216,65.6,76.0,2001-02-2002-03,34.0081,64.01,77.0,2000-01-2002-03,32.5691,62.57,60.0,2001-02-2005-06,31.4494,61.45,72.75,60,78,18.0
Kyrie Irving,Secondary star,94,2018-19,33.3836,63.38,80.0,2017-18-2018-19,33.3714,63.37,78.0,2016-17-2018-19,32.4524,62.45,61.0,2014-15-2018-19,31.4366,61.44,78.25,61,94,33.0
Shawn Kemp,Secondary star,65,1995-96,37.7137,68.18,71.0,1994-95-1995-96,34.5224,64.59,65.0,1993-94-1995-96,33.992,63.99,62.0,1992-93-1996-97,31.2188,61.22,65.75,62,71,3.0
Elton Brand,Secondary star,51,2005-06,41.56,72.51,56.0,2005-06-2006-07,36.4539,66.76,71.0,2004-05-2006-07,33.4793,63.48,63.0,2001-02-2005-06,31.1132,61.11,60.25,51,71,-12.0
Isiah Thomas,Secondary star,69,1984-85,36.4342,66.74,74.0,1983-84-1984-85,34.1049,64.12,73.0,1983-84-1985-86,32.8951,62.9,64.0,1983-84-1987-88,31.0646,61.06,70.0,64,74,5.0
Yao Ming,Secondary star,108,2008-09,32.2285,62.23,98.0,2004-05-2005-06,31.0089,61.01,89.0,2004-05-2006-07,30.9386,60.94,65.0,2004-05-2008-09,30.8883,60.89,90.0,65,108,43.0
George Gervin,Primary scorer,76,1981-82,35.7765,66.0,78.0,1980-81-1981-82,33.9023,63.9,63.0,1979-80-1981-82,34.2642,64.3,66.0,1979-80-1983-84,30.7018,60.7,70.75,63,78,10.0
Jalen Brunson,Secondary star,81,2023-24,35.1799,65.33,79.0,2023-24-2024-25,33.7285,63.73,69.0,2023-24-2025-26,33.6165,63.62,67.0,2021-22-2025-26,30.6568,60.66,74.0,67,81,14.0
Chris Webber,Secondary star,87,2000-01,34.5053,64.57,75.0,2000-01-2001-02,34.0789,64.09,70.0,1999-00-2001-02,33.5452,63.55,68.0,1998-99-2002-03,30.6036,60.6,75.0,68,87,19.0
Terry Porter,Secondary star,66,1990-91,37.6665,68.12,63.0,1989-90-1990-91,35.9021,66.14,61.0,1989-90-1991-92,34.4515,64.51,69.0,1987-88-1991-92,30.513,60.51,64.75,61,69,-3.0
Dominique Wilkins,Primary scorer,98,1992-93,33.0492,63.05,91.0,1985-86-1986-87,32.1782,62.18,83.0,1985-86-1987-88,31.6755,61.68,70.0,1985-86-1989-90,30.3899,60.39,85.5,70,98,28.0
Paul George,Secondary star,57,2018-19,39.5004,70.19,82.0,2017-18-2018-19,33.1286,63.13,87.0,2018-19-2020-21,31.4125,61.41,71.0,2015-16-2019-20,29.994,59.99,74.25,57,87,-14.0
Donovan Mitchell,Secondary star,114,2022-23,31.5094,61.51,104.0,2024-25-2025-26,30.5778,60.58,91.0,2022-23-2024-25,30.6152,60.62,72.0,2021-22-2025-26,29.8777,59.88,95.25,72,114,42.0
Chris Mullin,High-impact role player,112,1990-91,31.7586,61.76,95.0,1989-90-1990-91,31.6953,61.7,85.0,1988-89-1990-91,31.4899,61.49,73.0,1987-88-1991-92,29.7846,59.78,91.25,73,112,39.0
Blake Griffin,Secondary star,89,2013-14,34.1281,64.14,88.0,2013-14-2014-15,32.4834,62.48,86.0,2012-13-2014-15,31.4223,61.42,74.0,2010-11-2014-15,29.7384,59.74,84.25,74,89,15.0
Draymond Green,Secondary star,67,2015-16,36.9533,67.32,60.0,2015-16-2016-17,36.0897,66.35,66.0,2014-15-2016-17,33.8194,63.82,75.0,2014-15-2018-19,29.6934,59.69,67.0,60,75,-8.0
DeAndre Jordan,High-impact role player,100,2014-15,32.7742,62.77,85.0,2014-15-2015-16,32.6448,62.64,81.0,2014-15-2016-17,31.8696,61.87,76.0,2013-14-2017-18,29.5373,59.54,85.5,76,100,24.0
Tyrese Haliburton,Secondary star,71,2023-24,36.3561,66.65,69.0,2023-24-2024-25,35.2919,65.45,62.0,2022-23-2024-25,34.3208,64.36,77.0,2020-21-2024-25,29.5152,59.52,69.75,62,77,-6.0
Artis Gilmore,High-impact role player,105,1980-81,32.3781,62.38,90.0,1980-81-1981-82,32.2966,62.3,82.0,1980-81-1982-83,31.7284,61.73,78.0,1980-81-1984-85,29.3293,59.33,88.75,78,105,27.0
Andrei Kirilenko,High-impact role player,86,2003-04,34.5668,64.64,84.0,2003-04-2004-05,32.7867,62.79,84.0,2003-04-2005-06,31.5426,61.54,79.0,2001-02-2005-06,29.2033,59.2,83.25,79,86,7.0
Vince Carter,Primary scorer,60,2000-01,39.1845,69.83,59.0,1999-00-2000-01,36.2274,66.51,72.0,1999-00-2001-02,33.3636,63.36,80.0,1999-00-2003-04,29.0978,59.1,67.75,59,80,-20.0
Dikembe Mutombo,High-impact role player,111,1996-97,31.8832,61.88,103.0,1996-97-1997-98,30.7043,60.7,101.0,1996-97-1998-99,29.5873,59.59,81.0,1996-97-2000-01,29.0415,59.04,99.0,81,111,30.0
Kevin Love,Secondary star,47,2013-14,42.4152,73.42,65.0,2013-14-2014-15,35.4419,65.62,79.0,2013-14-2015-16,31.9197,61.92,82.0,2013-14-2017-18,28.8274,58.83,68.25,47,82,-35.0
Marques Johnson,Secondary star,70,1980-81,36.4112,66.71,72.0,1979-80-1980-81,34.521,64.59,88.0,1979-80-1981-82,31.2191,61.22,83.0,1979-80-1983-84,28.6908,58.69,78.25,70,88,-13.0
Alex English,Secondary star,109,1982-83,32.1031,62.1,102.0,1981-82-1982-83,30.7535,60.75,102.0,1981-82-1983-84,29.5463,59.55,84.0,1981-82-1985-86,28.5832,58.58,99.25,84,109,25.0
Kyle Lowry,Secondary star,113,2016-17,31.5105,61.51,96.0,2015-16-2016-17,31.0816,61.08,93.0,2015-16-2017-18,30.5579,60.56,85.0,2013-14-2017-18,28.4589,58.46,96.75,85,113,28.0
Shawn Marion,High-impact role player,101,2005-06,32.7737,62.77,99.0,2004-05-2005-06,31.0055,61.01,97.0,2004-05-2006-07,30.109,60.11,86.0,2002-03-2006-07,28.4426,58.44,95.75,86,101,15.0
Robert Parish,Secondary star,90,1980-81,33.8652,63.87,83.0,1980-81-1981-82,33.0426,63.04,80.0,1980-81-1982-83,31.8999,61.9,87.0,1980-81-1984-85,28.3664,58.37,85.0,80,90,3.0
Isaiah Thomas,High-impact role player,54,2016-17,40.8629,71.72,62.0,2015-16-2016-17,35.9701,66.22,75.0,2014-15-2016-17,32.5994,62.6,88.0,2012-13-2016-17,28.1413,58.14,69.75,54,88,-34.0
Jarrett Allen,High-impact role player,119,2024-25,30.8027,60.8,110.0,2023-24-2024-25,30.0923,60.09,107.0,2023-24-2025-26,29.036,59.04,89.0,2021-22-2025-26,28.0092,58.01,106.25,89,119,30.0
Brad Daugherty,Secondary star,74,1991-92,35.9107,66.15,70.0,1991-92-1992-93,35.0015,65.13,74.0,1990-91-1992-93,32.7601,62.76,90.0,1988-89-1992-93,27.9349,57.93,77.0,70,90,-16.0
Carmelo Anthony,Primary scorer,91,2012-13,33.5851,63.59,93.0,2012-13-2013-14,32.1035,62.1,96.0,2011-12-2013-14,30.1513,60.15,91.0,2009-10-2013-14,27.9141,57.91,92.75,91,96,0.0
Bobby Jones,High-impact role player,115,1980-81,31.3545,61.35,106.0,1980-81-1981-82,30.5018,60.5,99.0,1979-80-1981-82,29.7605,59.76,92.0,1979-80-1983-84,27.8662,57.87,103.0,92,115,23.0
Deron Williams,Primary playmaker,102,2007-08,32.7434,62.74,113.0,2007-08-2008-09,29.6035,59.6,94.0,2007-08-2009-10,30.5101,60.51,93.0,2007-08-2011-12,27.5316,57.53,100.5,93,113,9.0
Gilbert Arenas,Secondary star,79,2005-06,35.3505,65.52,77.0,2005-06-2006-07,33.9675,63.97,76.0,2004-05-2006-07,32.5756,62.58,94.0,2002-03-2006-07,27.5145,57.51,81.5,76,94,-15.0
Marc Gasol,High-impact role player,88,2012-13,34.4058,64.46,111.0,2011-12-2012-13,29.9734,59.97,95.0,2012-13-2014-15,30.4986,60.5,95.0,2010-11-2014-15,27.2811,57.28,97.25,88,111,-7.0
DeMarcus Cousins,Secondary star,124,2016-17,30.4503,60.45,121.0,2015-16-2016-17,28.3872,58.39,113.0,2014-15-2016-17,28.1025,58.1,96.0,2013-14-2017-18,27.1785,57.18,113.5,96,124,28.0
