player,group,window,prime_raw,prime_display,SI,TP,Rec,PO,Team,teammate_adj,usg,pts_per75,r_ts,ts_plus,team_scoring_share,team_assist_share,ast_pct,trb_per100,blk_per100,bpm,obpm,dbpm,vorp,ws_per_48,per,burden_residual,creation_load,creation_share,role,creation_independence
Dwight Howard,efficient_big,2007-08-2011-12,49.62,80.6,21.02,9.77,14.43,3.64,0.75,0.01,26.1,22.4,5.4,109.9,0.196,0.069,7.3,20.1,4.3,4.5,2.1,2.4,4.7,0.234,25.4,6.36,1.0,0.228,Two-way engine,50.2
Rudy Gobert,efficient_big,2016-17-2020-21,39.82,70.5,21.37,8.98,8.56,0.7,0.19,0.03,17.8,17.9,12.1,121.5,0.14,0.076,9.6,19.3,3.5,5.4,3.0,2.5,4.8,0.268,24.6,4.76,0.63,0.175,High-impact role player,32.0
Kevin McHale,efficient_big,1985-86-1989-90,37.41,67.8,19.23,9.79,5.61,2.13,0.97,-0.33,24.1,23.9,11.6,121.5,0.218,0.083,9.8,12.1,2.7,5.1,4.7,0.4,5.5,0.232,24.0,7.6,1.0,0.255,Secondary star,53.5
Patrick Ewing,comparison,1989-90-1993-94,37.22,67.6,20.74,9.21,5.14,1.15,0.82,0.16,29.4,27.2,6.4,112.0,0.264,0.084,10.0,13.8,5.0,5.5,3.7,1.8,6.0,0.205,25.8,7.6,1.0,0.302,Two-way engine,63.3
Alonzo Mourning,comparison,1995-96-1999-00,36.65,67.0,19.09,9.08,7.56,0.58,0.29,0.04,28.1,25.1,7.2,113.7,0.222,0.065,8.7,14.7,5.7,5.3,3.1,2.2,5.0,0.226,25.8,7.6,1.0,0.251,Two-way engine,56.6
Ben Wallace,comparison,2001-02-2005-06,32.6,62.6,16.69,3.72,10.55,1.1,0.62,-0.09,10.2,7.3,-3.4,93.5,0.067,0.072,6.9,21.7,4.4,3.9,0.4,3.5,4.3,0.176,17.2,-0.07,0.07,0.1,Defensive anchor,14.1
Pau Gasol,comparison,2006-07-2010-11,32.05,62.1,19.82,7.17,1.73,2.28,1.21,-0.15,20.4,19.4,7.1,113.0,0.175,0.148,14.8,13.2,1.4,4.5,4.0,0.5,5.0,0.223,22.2,6.73,1.0,0.241,Secondary star,52.8
Domantas Sabonis,efficient_big,2020-21-2024-25,31.87,61.9,20.55,9.47,1.93,-0.24,0.0,0.15,22.2,19.8,5.4,109.2,0.167,0.29,33.9,18.6,0.8,6.5,4.0,2.4,6.2,0.206,23.2,5.17,1.0,0.297,Two-way engine,73.3
Chris Webber,comparison,1998-99-2002-03,30.6,60.6,18.61,6.35,4.8,0.15,0.69,0.01,31.6,25.5,-0.2,99.6,0.227,0.158,20.6,13.9,2.1,5.5,4.0,1.4,5.3,0.186,24.7,2.73,1.0,0.298,Primary scorer,65.1
Blake Griffin,comparison,2010-11-2014-15,29.74,59.7,18.17,7.42,2.97,0.98,0.53,-0.34,29.0,25.3,4.1,107.6,0.218,0.155,19.2,13.2,0.9,4.5,3.8,0.7,4.7,0.205,23.9,6.03,1.0,0.288,Secondary star,67.7
DeAndre Jordan,efficient_big,2013-14-2017-18,29.54,59.5,17.08,7.11,4.66,0.83,0.14,-0.28,13.6,12.8,10.1,118.7,0.108,0.028,3.2,22.0,3.3,2.9,2.2,0.7,3.5,0.217,21.0,1.72,0.23,0.12,High-impact role player,7.9
Dikembe Mutombo,comparison,1996-97-2000-01,29.04,59.0,14.83,5.62,6.7,1.63,0.36,-0.1,17.4,14.9,4.7,108.8,0.137,0.072,6.4,17.3,4.9,2.6,0.3,2.4,3.5,0.183,19.0,2.64,0.59,0.169,High-impact role player,27.9
Jarrett Allen,efficient_big,2021-22-2025-26,28.01,58.0,17.84,8.2,0.25,1.46,0.32,-0.08,15.9,17.3,14.7,125.4,0.111,0.068,9.5,16.7,1.5,4.2,3.0,1.2,3.6,0.243,22.1,2.88,0.38,0.141,High-impact role player,21.1
Marc Gasol,comparison,2010-11-2014-15,27.28,57.3,17.09,4.74,4.1,0.89,0.51,-0.05,19.2,16.4,2.4,104.4,0.147,0.186,19.1,12.1,2.7,5.2,2.1,3.1,5.1,0.197,19.5,2.26,1.0,0.231,High-impact role player,47.4
Joakim Noah,comparison,2009-10-2013-14,26.71,56.7,16.69,4.01,5.77,0.04,0.17,0.03,18.7,14.2,-1.1,98.0,0.131,0.231,26.4,17.0,2.3,5.3,1.7,3.6,5.2,0.19,20.0,-0.33,1.0,0.235,Defensive anchor,49.6
Bam Adebayo,comparison,2019-20-2023-24,26.41,56.4,15.94,6.5,2.66,0.51,0.87,-0.06,21.2,17.3,2.9,105.2,0.14,0.194,24.2,14.8,1.9,3.4,1.4,2.0,3.3,0.168,20.3,2.8,1.0,0.227,Two-way engine,53.5
Clint Capela,efficient_big,2016-17-2020-21,25.11,54.9,16.75,7.22,0.25,0.76,0.51,-0.39,19.4,18.6,9.2,116.6,0.112,0.038,5.7,19.4,3.3,3.4,2.4,1.0,2.8,0.242,24.5,2.18,0.29,0.129,High-impact role player,25.3
Tyson Chandler,efficient_big,2010-11-2014-15,24.9,54.6,14.48,7.31,3.22,-0.35,0.3,-0.07,13.0,13.1,17.9,133.8,0.109,0.042,4.3,15.3,2.2,2.3,1.2,1.1,2.2,0.22,18.7,2.11,0.28,0.127,High-impact role player,7.1
Andre Drummond,efficient_big,2015-16-2019-20,20.77,49.5,14.06,5.02,1.82,-0.32,0.0,0.19,21.2,16.7,-0.3,99.5,0.138,0.126,14.3,23.7,2.4,3.2,1.5,1.7,3.4,0.188,22.9,-0.06,0.77,0.194,High-impact role player,38.2
