player_a,player_b,raw_a,raw_b,d_prime_raw,d_SI,d_TP,d_Rec,d_PO,d_Team,d_tm,primary_driver
DeAndre Jordan,Marc Gasol,29.54,27.28,2.26,-0.01,2.37,0.56,-0.06,-0.37,-0.23,TP (+2.37)
DeAndre Jordan,Joakim Noah,29.54,26.71,2.83,0.39,3.1,-1.11,0.79,-0.04,-0.31,TP (+3.10)
DeAndre Jordan,Dikembe Mutombo,29.54,29.04,0.5,2.26,1.49,-2.04,-0.81,-0.22,-0.18,SI (+2.26)
DeAndre Jordan,Bam Adebayo,29.54,26.41,3.13,1.14,0.62,2.0,0.32,-0.73,-0.22,Rec (+2.00)
Rudy Gobert,Patrick Ewing,39.82,37.22,2.6,0.63,-0.23,3.42,-0.45,-0.63,-0.14,Rec (+3.42)
Rudy Gobert,Alonzo Mourning,39.82,36.65,3.17,2.27,-0.11,1.01,0.12,-0.11,-0.02,SI (+2.27)
Rudy Gobert,Ben Wallace,39.82,32.6,7.22,4.68,5.25,-1.98,-0.4,-0.44,0.11,TP (+5.25)
Domantas Sabonis,Chris Webber,31.87,30.6,1.27,1.94,3.12,-2.87,-0.38,-0.69,0.15,TP (+3.12)
Domantas Sabonis,Blake Griffin,31.87,29.74,2.13,2.38,2.05,-1.04,-1.22,-0.53,0.49,SI (+2.38)
Domantas Sabonis,Shawn Kemp,31.87,31.22,0.65,3.86,1.09,-1.07,-2.92,-0.66,0.35,SI (+3.86)
Dwight Howard,Patrick Ewing,49.62,37.22,12.4,0.29,0.56,9.29,2.49,-0.07,-0.16,Rec (+9.29)
Dwight Howard,Alonzo Mourning,49.62,36.65,12.97,1.93,0.69,6.87,3.06,0.46,-0.04,Rec (+6.87)
