system,duration,rank,player,raw
Official  38/21/20/18/3,1,1,Stephen Curry,75.694
Official  38/21/20/18/3,1,2,Hakeem Olajuwon,66.51
Official  38/21/20/18/3,1,3,James Harden,62.065
Official  38/21/20/18/3,1,4,David Robinson,60.198
Official  38/21/20/18/3,1,5,Kobe Bryant,54.48
Official  38/21/20/18/3,3,1,Stephen Curry,68.613
Official  38/21/20/18/3,3,2,Hakeem Olajuwon,59.916
Official  38/21/20/18/3,3,3,James Harden,59.634
Official  38/21/20/18/3,3,4,David Robinson,59.106
Official  38/21/20/18/3,3,5,Kobe Bryant,52.569
Official  38/21/20/18/3,5,1,Stephen Curry,61.6
Official  38/21/20/18/3,5,2,James Harden,56.184
Official  38/21/20/18/3,5,3,David Robinson,55.673
Official  38/21/20/18/3,5,4,Hakeem Olajuwon,53.581
Official  38/21/20/18/3,5,5,Kobe Bryant,50.966
More stats 41/23/17/16/3,1,1,Stephen Curry,76.856
More stats 41/23/17/16/3,1,2,Hakeem Olajuwon,65.4
More stats 41/23/17/16/3,1,3,James Harden,63.275
More stats 41/23/17/16/3,1,4,David Robinson,62.364
More stats 41/23/17/16/3,1,5,Kobe Bryant,54.272
More stats 41/23/17/16/3,3,1,Stephen Curry,69.776
More stats 41/23/17/16/3,3,2,James Harden,61.26
More stats 41/23/17/16/3,3,3,David Robinson,61.058
More stats 41/23/17/16/3,3,4,Hakeem Olajuwon,59.685
More stats 41/23/17/16/3,3,5,Kobe Bryant,52.499
More stats 41/23/17/16/3,5,1,Stephen Curry,62.975
More stats 41/23/17/16/3,5,2,James Harden,57.929
More stats 41/23/17/16/3,5,3,David Robinson,57.572
More stats 41/23/17/16/3,5,4,Hakeem Olajuwon,53.669
More stats 41/23/17/16/3,5,5,Kobe Bryant,51.171
Less awards 40/22/17/18/3,1,1,Stephen Curry,75.479
Less awards 40/22/17/18/3,1,2,Hakeem Olajuwon,65.304
Less awards 40/22/17/18/3,1,3,James Harden,62.161
Less awards 40/22/17/18/3,1,4,David Robinson,60.81
Less awards 40/22/17/18/3,1,5,Kobe Bryant,53.893
Less awards 40/22/17/18/3,3,1,Stephen Curry,68.864
Less awards 40/22/17/18/3,3,2,James Harden,60.173
Less awards 40/22/17/18/3,3,3,David Robinson,59.673
Less awards 40/22/17/18/3,3,4,Hakeem Olajuwon,59.31
Less awards 40/22/17/18/3,3,5,Kobe Bryant,52.153
Less awards 40/22/17/18/3,5,1,Stephen Curry,62.159
Less awards 40/22/17/18/3,5,2,James Harden,56.89
Less awards 40/22/17/18/3,5,3,David Robinson,56.28
Less awards 40/22/17/18/3,5,4,Hakeem Olajuwon,53.286
Less awards 40/22/17/18/3,5,5,Kobe Bryant,50.684
Less playoff 40/22/20/15/3,1,1,Stephen Curry,77.854
Less playoff 40/22/20/15/3,1,2,Hakeem Olajuwon,66.755
Less playoff 40/22/20/15/3,1,3,James Harden,63.862
Less playoff 40/22/20/15/3,1,4,David Robinson,62.342
Less playoff 40/22/20/15/3,1,5,Kobe Bryant,55.134
Less playoff 40/22/20/15/3,3,1,Stephen Curry,70.072
Less playoff 40/22/20/15/3,3,2,James Harden,61.381
Less playoff 40/22/20/15/3,3,3,David Robinson,61.288
Less playoff 40/22/20/15/3,3,4,Hakeem Olajuwon,60.576
Less playoff 40/22/20/15/3,3,5,Kobe Bryant,53.121
Less playoff 40/22/20/15/3,5,1,Stephen Curry,62.884
Less playoff 40/22/20/15/3,5,2,James Harden,57.856
Less playoff 40/22/20/15/3,5,3,David Robinson,57.743
Less playoff 40/22/20/15/3,5,4,Hakeem Olajuwon,54.238
Less playoff 40/22/20/15/3,5,5,Kobe Bryant,51.778
