category,field,observed,derived,not_applicable,missing,n_player_seasons,missing_players
regular_box,g,279,0,0,0,279,
regular_box,mp,279,0,0,0,279,
regular_box,pts_per100,279,0,0,0,279,
regular_box,trb_per100,279,0,0,0,279,
regular_box,ast_per100,279,0,0,0,279,
regular_box,stl_per100,279,0,0,0,279,
regular_box,blk_per100,279,0,0,0,279,
advanced,bpm,279,0,0,0,279,
advanced,obpm,279,0,0,0,279,
advanced,dbpm,279,0,0,0,279,
advanced,vorp,279,0,0,0,279,
advanced,ws_per_48,279,0,0,0,279,
advanced,per,279,0,0,0,279,
advanced,ts_pct,279,0,0,0,279,
advanced,usg_pct,279,0,0,0,279,
team,team_scoring_share,279,0,0,0,279,
team,team_assist_share,279,0,0,0,279,
team,n_teams,279,0,0,0,279,
awards,mvp_vote_share,8,0,271,0,279,
awards,dpoy_vote_share,13,0,266,0,279,
awards,all_nba_team,15,0,264,0,279,
awards,all_defense_team,10,0,269,0,279,
awards,finals_mvp,1,0,278,0,279,
awards,scoring_title,1,0,278,0,279,
awards,assist_title,1,0,278,0,279,
awards,rebound_title,1,0,278,0,279,
awards,steals_title,1,0,278,0,279,
awards,blocks_title,1,0,278,0,279,
postseason,po_mp,145,0,134,0,279,
postseason,po_g,145,0,134,0,279,
postseason,po_bpm,145,0,134,0,279,
postseason,po_pts,145,0,134,0,279,
postseason,po_ws_per_48,145,0,134,0,279,
postseason,po_per,145,0,134,0,279,
postseason,playoff_round_score,145,0,134,0,279,
status,provisional,279,0,0,0,279,
