player,raw_1yr,disp_1yr,raw_3yr,disp_3yr,raw_5yr,disp_5yr,creation_independence
Dwight Howard,57.38,86.2,54.2,83.9,49.62,80.6,50.2
Rudy Gobert,43.37,74.4,40.87,71.7,39.82,70.5,32.0
Scottie Pippen,40.99,71.9,40.66,71.5,38.78,69.4,64.8
Manu Ginobili,45.61,76.6,40.64,71.5,38.51,69.1,62.3
Kevin McHale,45.09,76.1,40.83,71.7,37.41,67.8,53.5
Patrick Ewing,42.86,73.9,38.52,69.1,37.22,67.6,63.3
Alonzo Mourning,46.16,77.2,41.42,72.3,36.65,67.0,56.6
Ben Wallace,36.33,66.6,34.74,64.8,32.6,62.6,14.1
Pau Gasol,35.65,65.9,34.69,64.8,32.05,62.1,52.8
Domantas Sabonis,35.86,66.1,34.55,64.6,31.87,61.9,73.3
Kyrie Irving,33.38,63.4,32.45,62.5,31.44,61.4,76.6
Chris Webber,34.51,64.6,33.55,63.5,30.6,60.6,65.1
Blake Griffin,34.13,64.1,31.42,61.4,29.74,59.7,67.7
Draymond Green,36.95,67.3,33.82,63.8,29.69,59.7,58.4
DeAndre Jordan,32.77,62.8,31.87,61.9,29.54,59.5,7.9
Dikembe Mutombo,31.88,61.9,29.59,59.6,29.04,59.0,27.9
Jarrett Allen,30.8,60.8,29.04,59.0,28.01,58.0,21.1
Carmelo Anthony,33.59,63.6,30.15,60.2,27.91,57.9,64.5
Marc Gasol,34.41,64.5,30.5,60.5,27.28,57.3,47.4
Joakim Noah,38.11,68.6,30.58,60.6,26.71,56.7,49.6
Bam Adebayo,28.58,58.6,28.22,58.2,26.41,56.4,53.5
Clint Capela,31.23,61.2,27.38,57.4,25.11,54.9,25.3
Tyson Chandler,29.8,59.8,26.97,57.0,24.9,54.6,7.1
Rajon Rondo,27.51,57.5,25.44,55.3,24.0,53.5,64.1
Dennis Rodman,27.7,57.7,24.83,54.5,23.0,52.3,16.9
Klay Thompson,26.92,56.9,24.5,54.1,21.14,49.9,58.0
Andre Drummond,24.93,54.7,22.25,51.3,20.77,49.5,38.2
Jaylen Brown,24.91,54.6,21.97,51.0,20.67,49.3,69.1
